"minValue","id","isApproximate","maxValue","instanceType","uuid:ID"
"10.0","Range_2","False","10.0","Range","2bc6ee77-9ae1-4175-bbe9-aa9601569381"
"10.0","Range_1","False","10.0","Range","9b81fa29-0c5a-4d02-843e-bc2b60e79bcd"
"18.0","Range_3","False","100.0","Range","2ec02499-41cb-4314-ba03-43d480e45bff"
