"description","id","label","name","instanceType","uuid:ID"
"Day -42 to -9","ScheduledActivityInstance_15","-42 to -9","SCREEN","ScheduledActivityInstance","fb9eae9a-b8f9-49aa-890b-5bc8d7a2d66a"
"Day -21","ScheduledActivityInstance_16","-21","ZINC","ScheduledActivityInstance","830fb121-7248-4a2e-9782-42d7d30bec56"
"Day -8, check in day","ScheduledActivityInstance_17","-8","CHECK_IN","ScheduledActivityInstance","ca5f6533-8037-4205-a87c-916743e32fc7"
"Day -7","ScheduledActivityInstance_18","-7","D-7","ScheduledActivityInstance","23630bfe-afdd-41c2-ae18-d1b4920db16d"
"","ScheduledActivityInstance_19","","D-6-5_START","ScheduledActivityInstance","d33e98a9-d246-4f03-b104-f1ea1e216aca"
"Day -6 and -5","ScheduledActivityInstance_20","-6 through -5","D-6-5","ScheduledActivityInstance","47f07a03-3a23-47ac-95b0-d97e6685c088"
"Day -4","ScheduledActivityInstance_21","-4","D-4","ScheduledActivityInstance","0d04737e-0dae-43a1-91c5-faec65a919c5"
"Day -3","ScheduledActivityInstance_22","-3","D-3","ScheduledActivityInstance","a20108da-db45-4a3b-8f02-d60bc37bac21"
"Day -2","ScheduledActivityInstance_23","-2","D-2","ScheduledActivityInstance","a9c4e740-c215-4a4b-bb73-61b6bd05a104"
"Day -1","ScheduledActivityInstance_24","-1","D-1","ScheduledActivityInstance","e07a6e3b-0f49-4d09-bdcc-54876c1a6972"
"Day 1","ScheduledActivityInstance_25","1","D1","ScheduledActivityInstance","97033d4d-bbe9-4b47-a893-3015cb8fa277"
"Day 2","ScheduledActivityInstance_26","2","D2","ScheduledActivityInstance","588621e4-3e90-4b06-a547-55a35c4086f0"
"Day 3","ScheduledActivityInstance_27","3","D3","ScheduledActivityInstance","c0009513-1e23-4339-a676-8b923555929f"
"Day 4","ScheduledActivityInstance_28","4","D4","ScheduledActivityInstance","5ac90526-6ec1-476b-bff9-4d2e99029ecb"
"Day 5","ScheduledActivityInstance_29","5","D5","ScheduledActivityInstance","e9094d0d-8246-4c4b-b733-bd53d6a668d4"
"Day 6","ScheduledActivityInstance_30","6","D6","ScheduledActivityInstance","6fa51ef1-2a15-4e07-9d10-7f9897254a6d"
"Day 7","ScheduledActivityInstance_31","7","D7","ScheduledActivityInstance","76536e0a-438b-4554-8de7-71dfc533ae20"
