"durationWillVary","id","description","reasonDurationWillVary","instanceType","uuid:ID"
"True","AdministrationDuration_1","","Need reason","AdministrationDuration","652fe9fb-89d6-455b-88ba-74de54cf6d6f"
"True","AdministrationDuration_2","","Need reason","AdministrationDuration","345a390e-e1e4-4ce4-8b9d-32d451615784"
