"description","id","label","name","instanceType","uuid:ID"
"Screening encounter","Encounter_1","Screening","E1","Encounter","294f80dd-50b5-4da7-be25-ce366a5016b5"
"Day -21 encounter","Encounter_2","Day -21","E2","Encounter","cfbeedfa-4e9c-4451-81c9-71f8dfc37097"
"Day -8 encounter","Encounter_3","Day -8","E3","Encounter","6fc8b059-d6e9-45d2-98d2-8b759cf64d68"
"Day -7 encounter","Encounter_4","Day -7","E4","Encounter","a0fa524f-7360-480d-a06e-848961024381"
"Day -5 and Day -6 encounter","Encounter_5","Day -6 through -5","E5","Encounter","c3f0dd8a-c82d-4135-82d4-7182875e1619"
"Day -4 encounter","Encounter_6","Day -4","E6","Encounter","220eb1d3-aa2d-4325-a256-b0223992a209"
"Day -3 encounter","Encounter_7","Day -3","E7","Encounter","ae983d1d-a8b5-4ed0-859c-dbbcc23bb7d2"
"Day -2 encounter","Encounter_8","Day -2","E8","Encounter","e37d1ef2-77a2-4bd0-9e9a-13f5e68a1835"
"Day -1 encounter","Encounter_9","Day -1","E9","Encounter","339ba9e8-6760-446f-9def-9e5adacae06f"
"Day 1 encounter","Encounter_10","Day 1","E10","Encounter","1fbc70e0-35fb-4a17-a358-20bc9672ea62"
"Day 2 encounter","Encounter_11","Day 2","E11","Encounter","de74b5e4-e9b8-40ad-8a3b-4a0893eea479"
"Day 3 encounter","Encounter_12","Day 3","E12","Encounter","609616e9-847d-47f5-bf59-6622d48535df"
"Day 4 encounter","Encounter_13","Day 4","E13","Encounter","f49a683c-076d-46be-b0e4-2a0b2d569780"
"Day 5 encounter","Encounter_14","Day 5","E14","Encounter","9379f7e6-4737-4a13-afae-fdbbc04c7bc2"
"Day 6 encounter","Encounter_15","Day 6","E15","Encounter","8c2d3034-9968-4fd6-881c-b6f1abc0a6c7"
"Day 7 encounter","Encounter_16","Day 7","E16","Encounter","54da3abd-3e3f-41af-8ccd-bc6eee7e6ba1"
"Day 8 encounter","Encounter_17","Day 8","E17","Encounter","f91dd307-e49b-4384-a3dc-579ef24807fa"
"Day 9 encounter","Encounter_18","Day 9","E18","Encounter","7c0f8872-b62a-4345-b26d-f42f3368cef1"
"Day 10 encounter","Encounter_19","Day 10","E19","Encounter","fafe7780-651e-4d44-9915-d492f047e179"
"Day 11 encounter","Encounter_20","Day 11","E20","Encounter","5ee92e17-5c34-4d28-96b8-2ec036b5c472"
"Day 12 encounter","Encounter_21","Day 12","E21","Encounter","41199eb7-0848-437d-ab1a-a023d77c5ce8"
"Day 13 encounter","Encounter_22","Day 13","E22","Encounter","adbfb653-3182-4cba-9660-43611024f816"
"Day 14 encounter","Encounter_23","Day 14","E23","Encounter","687e6b2f-af1d-4d53-88cb-cbc35e1a3106"
"Day 15 encounter","Encounter_24","Day 15","E24","Encounter","ab11ab1b-2255-4ed2-91f6-5e9f8a5be54b"
"Day 16 encounter","Encounter_25","Day 16","E25","Encounter","e92de433-65b3-49ad-87a1-49f6736efc93"
"Day 17 encounter","Encounter_26","Day 17","E26","Encounter","9c62001f-5291-47c2-a53d-0e87f187db8b"
"Day 18 encounter","Encounter_27","Day 18","E27","Encounter","465a8d7b-aeb8-4b5c-b3fc-0c5b7d223e31"
"Day 19 encounter","Encounter_28","Day 19","E28","Encounter","caae0566-86cf-4487-b6bf-fc6b0779e111"
"Day 20 encounter","Encounter_29","Day 20","E29","Encounter","47749134-cfd9-4c30-8ed9-2b2a68cedf9a"
"Day 21 encounter","Encounter_30","Day 21","E30","Encounter","422aa99e-112c-476c-94de-6e125dda9fd9"
"Day 22 encounter","Encounter_31","Day 22","E31","Encounter","88e36f7e-fa40-4c73-b041-d65ab79f25d1"
"Day 23 encounter","Encounter_32","Day 23","E32","Encounter","a767204e-326a-4449-9e3d-0edd1b659eeb"
"Day 24 encounter","Encounter_33","Day 24","E33","Encounter","d063c3ce-9413-40a6-bf07-605047171c06"
"Day 25 encounter","Encounter_34","Day 25","E34","Encounter","87b6f273-232f-4773-bfcb-82a5c95712f0"
"Day 26 encounter","Encounter_35","Day 26","E35","Encounter","8483fe05-4d4a-4360-81c6-a281021832c5"
"Day 27 encounter","Encounter_36","Day 27","E36","Encounter","f829b989-84fd-4459-b8c9-ef9952d0f4eb"
"Day 28 encounter","Encounter_37","Day 28","E37","Encounter","5eff5650-64e8-48bf-aa33-5e3dc33be1cc"
"Day 29 encounter","Encounter_38","Day 29","E38","Encounter","9a089760-16f4-4a1e-a376-446d19a7e0bd"
"Day 30 encounter","Encounter_39","Day 30","E39","Encounter","79f09909-ebb3-45be-a905-688a0a1d13e0"
"Day 31 encounter","Encounter_40","Day 31","E40","Encounter","6d4a62e9-6746-4e5b-a729-b4010b56bd46"
"Day 32 encounter","Encounter_41","Day 32","E41","Encounter","0fe79891-3b26-4346-a02f-de0bd6bf90bf"
