"description","dateValue","id","label","name","instanceType","uuid:ID"
"Original protocol approval date","2020-05-12","GovernanceDate_1","Original Protocol","P_APPROVE_ORG","GovernanceDate","b0c79feb-ecd9-49d6-95ee-2ee5c2076738"
"Amendment 1 approval date","2020-08-18","GovernanceDate_2","Amendment 1","P_APPROVE_A1","GovernanceDate","658a45cb-0466-4315-ab2e-72a3586d46fc"
"Amendment 2 approval date","2021-03-19","GovernanceDate_3","Amendment 2","P_APPROVE_A2","GovernanceDate","d021b283-9b20-4cd4-a9a5-94fa243208e0"
"Amendment 3 approval date","2021-08-31","GovernanceDate_4","Amendment 3","P_APPROVE_A3","GovernanceDate","cc91430f-451c-4bd7-9413-80cc9a211260"
"Amendment 3.1 approval date","2022-03-18","GovernanceDate_5","Amendment 3.1","P_APPROVE_A3-1","GovernanceDate","eff2ffb5-6bf3-426b-a315-94d5894d3c0a"
