"isRequired","id","label","isEnabled","datatype","name","instanceType","uuid:ID"
"True","BiomedicalConceptProperty_24","Numeric Age for Data Tabulation","True","decimal","Numeric Age for Data Tabulation","BiomedicalConceptProperty","78df1ae8-177f-4907-8107-bb8771e51a9a"
"True","BiomedicalConceptProperty_25","Age Unit","True","string","Age Unit","BiomedicalConceptProperty","8d626c83-5c33-4916-90aa-63a8799a4966"
"True","BiomedicalConceptProperty_26","Sex","True","string","Sex","BiomedicalConceptProperty","acd9cca4-b228-4736-91b8-47413752c7c7"
"True","BiomedicalConceptProperty_27","Race","True","string","Race","BiomedicalConceptProperty","d6ea8ced-8480-4350-8997-ef43bccf43b6"
"True","BiomedicalConceptProperty_28","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","341b6a44-becb-41f4-8da7-9b19698c7007"
"True","BiomedicalConceptProperty_29","VSORRES","True","float","VSORRES","BiomedicalConceptProperty","f94e6ef0-aff1-4c29-aa8f-e3d0b6cf42c4"
"True","BiomedicalConceptProperty_30","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","1087d51d-05d6-4885-870a-a36ddf9f27b8"
"True","BiomedicalConceptProperty_31","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","8fd3f509-38b5-4e8f-9d4f-2275a0d12cc0"
"True","BiomedicalConceptProperty_32","VSORRES","True","float","VSORRES","BiomedicalConceptProperty","35a8322f-6e04-411e-a243-eb80bc3ce2ef"
"True","BiomedicalConceptProperty_33","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","9615b1b3-313a-42c5-ae50-187a94926f4d"
"True","BiomedicalConceptProperty_34","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","eeb7f3b9-3108-445d-8513-0fa9333e32bf"
"True","BiomedicalConceptProperty_35","VSORRES","True","float","VSORRES","BiomedicalConceptProperty","174cc3b0-c994-4919-8899-934b01826e14"
"True","BiomedicalConceptProperty_36","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","13427ae5-bcd8-4616-957a-128a82dd8015"
"True","BiomedicalConceptProperty_37","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","0b728f6c-794e-4f7f-b0a5-f55cfbc4e764"
"True","BiomedicalConceptProperty_38","VSORRES","True","float","VSORRES","BiomedicalConceptProperty","32cb6dd7-a80d-4bc9-a1a6-34737d1abf59"
"True","BiomedicalConceptProperty_39","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","5a8690fd-9e69-44d5-822a-2522053e7bbd"
"True","BiomedicalConceptProperty_40","VSLOC","True","","VSLOC","BiomedicalConceptProperty","ede3f489-46a0-4170-8313-ed7390aeba83"
"True","BiomedicalConceptProperty_41","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty","74beab10-25b7-4417-926b-71d8b72ade78"
"True","BiomedicalConceptProperty_42","VSORRES","True","integer","VSORRES","BiomedicalConceptProperty","74ea551e-4128-4ab0-8d64-295a3b07f652"
"True","BiomedicalConceptProperty_43","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty","6c082763-5848-43cf-9862-ad67ee034c1b"
"True","BiomedicalConceptProperty_44","VSPOS","True","","VSPOS","BiomedicalConceptProperty","7e22ec8d-0667-44c8-89a6-8d080584abe2"
"True","BiomedicalConceptProperty_45","VSLOC","True","","VSLOC","BiomedicalConceptProperty","2180dab5-ecd0-4d93-ad14-3b1bc1c2aefc"
"True","BiomedicalConceptProperty_46","VSLAT","True","","VSLAT","BiomedicalConceptProperty","0d3573d8-1273-4a16-9535-425017ec0ec2"
