"isEnabled","isRequired","uuid:ID","id","label","name","datatype","instanceType"
"True","True","d164f5ed-cf0e-4ecc-8f59-bf527529787a","BiomedicalConceptProperty_116","Sex","Sex","string","BiomedicalConceptProperty"
"True","True","f0980d07-d283-4c48-ac68-b76a55cfbf6b","BiomedicalConceptProperty_117","Race","Race","string","BiomedicalConceptProperty"
"True","True","502a6809-2c6e-41c2-b42b-e38eb1f9ebb0","BiomedicalConceptProperty_118","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty"
"True","True","4f118f96-9d76-4a08-a61e-dfec367d458b","BiomedicalConceptProperty_119","VSORRES","VSORRES","float","BiomedicalConceptProperty"
"True","True","c61f278c-ec2f-4bc4-b281-2c5c75ccfbd3","BiomedicalConceptProperty_120","VSORRESU","VSORRESU","","BiomedicalConceptProperty"
"True","True","3b816f77-1e51-4342-b6c7-90c969e5b47d","BiomedicalConceptProperty_121","VSLOC","VSLOC","","BiomedicalConceptProperty"
"True","True","9bf5af6c-02e2-4e16-a467-07c831f4d47a","BiomedicalConceptProperty_122","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty"
"True","True","62c1c92e-c16d-4653-ba01-feba588cb376","BiomedicalConceptProperty_123","VSORRES","VSORRES","float","BiomedicalConceptProperty"
"True","True","2dc35bf7-d47d-463c-84f6-7fb4a0daae45","BiomedicalConceptProperty_124","VSORRESU","VSORRESU","","BiomedicalConceptProperty"
"True","True","c17aa539-d1dc-490e-858c-63f67bc3e744","BiomedicalConceptProperty_125","VSTESTCD","VSTESTCD","","BiomedicalConceptProperty"
"True","True","e45e35fb-e2e2-43fe-8b0a-18ea59b3576c","BiomedicalConceptProperty_126","VSORRES","VSORRES","float","BiomedicalConceptProperty"
"True","True","18e8a217-efda-4c7d-b07c-39d7ddea4a1b","BiomedicalConceptProperty_127","VSORRESU","VSORRESU","","BiomedicalConceptProperty"
"True","True","69876a58-4afe-4296-9d04-9737c012f67c","BiomedicalConceptProperty_128","LBTESTCD","LBTESTCD","","BiomedicalConceptProperty"
"True","True","d8d12672-47e9-4382-8e59-a061aeea6d52","BiomedicalConceptProperty_129","LBORRES","LBORRES","float","BiomedicalConceptProperty"
"True","True","62bea38a-8d1f-4496-abf8-2001c00c7887","BiomedicalConceptProperty_130","LBORRESU","LBORRESU","","BiomedicalConceptProperty"
"True","True","9ee8ffaf-8873-4685-8789-b467cfd544b7","BiomedicalConceptProperty_131","LBSPEC","LBSPEC","","BiomedicalConceptProperty"
"True","True","5466d554-79a6-49fb-aa7d-8c68da73df86","BiomedicalConceptProperty_132","LBFAST","LBFAST","","BiomedicalConceptProperty"
"True","True","1de76a57-87ca-4fab-bb75-08deba8c1177","BiomedicalConceptProperty_133","LBTESTCD","LBTESTCD","","BiomedicalConceptProperty"
"True","True","aaf22656-4f6a-4325-9727-277f1d50b83e","BiomedicalConceptProperty_134","LBORRES","LBORRES","text","BiomedicalConceptProperty"
"True","True","8027563a-ea95-4196-bd38-8e63717ef133","BiomedicalConceptProperty_135","LBSPEC","LBSPEC","","BiomedicalConceptProperty"
"True","True","c56fd583-7077-4501-9f6d-2ab0cd274b24","BiomedicalConceptProperty_136","LBFAST","LBFAST","","BiomedicalConceptProperty"
"True","True","f147740d-d414-411c-8c68-8186412b4118","BiomedicalConceptProperty_137","LBTESTCD","LBTESTCD","","BiomedicalConceptProperty"
"True","True","4900af0e-6b7b-4e07-b25b-2d108468c358","BiomedicalConceptProperty_138","LBORRES","LBORRES","float","BiomedicalConceptProperty"
"True","True","db2bb549-7609-4e84-bc88-5cbfdf323f85","BiomedicalConceptProperty_139","LBORRESU","LBORRESU","","BiomedicalConceptProperty"
"True","True","b75bc447-7ced-4326-80c9-405b177bf0d4","BiomedicalConceptProperty_140","LBSPEC","LBSPEC","","BiomedicalConceptProperty"
"True","True","894886bb-6f46-4662-b25f-30548a3a040f","BiomedicalConceptProperty_141","LBFAST","LBFAST","","BiomedicalConceptProperty"
"True","True","e7c4e4b2-ae48-4ba2-883b-8d20cadabb2f","BiomedicalConceptProperty_142","LBTESTCD","LBTESTCD","","BiomedicalConceptProperty"
"True","True","9db07c9d-dff1-4a3d-8cd1-529f9fa462ac","BiomedicalConceptProperty_143","LBORRES","LBORRES","float","BiomedicalConceptProperty"
"True","True","d9f39e45-82ba-4e7c-aafd-a309a85dbe55","BiomedicalConceptProperty_144","LBORRESU","LBORRESU","","BiomedicalConceptProperty"
"True","True","f1b8368a-6d49-49f5-8acb-6ed15294abd8","BiomedicalConceptProperty_145","LBSPEC","LBSPEC","","BiomedicalConceptProperty"
"True","True","bc8bd675-7c33-462d-abd9-f78ad3004973","BiomedicalConceptProperty_146","LBFAST","LBFAST","","BiomedicalConceptProperty"
"True","True","3286d948-a19f-4308-b1b7-8052e1a2145b","BiomedicalConceptProperty_147","LBTESTCD","LBTESTCD","","BiomedicalConceptProperty"
"True","True","ed138671-9783-4428-aef3-029114b2b946","BiomedicalConceptProperty_148","LBORRES","LBORRES","float","BiomedicalConceptProperty"
"True","True","fbb4bb41-151d-4fa8-8721-1c1307b5b379","BiomedicalConceptProperty_149","LBORRESU","LBORRESU","","BiomedicalConceptProperty"
"True","True","c3f8b9ec-6ad4-4b84-9c8b-f904aabfa7d8","BiomedicalConceptProperty_150","LBSPEC","LBSPEC","","BiomedicalConceptProperty"
"True","True","239639ab-f8c5-4f1d-8cc5-9b863ecbe4c3","BiomedicalConceptProperty_151","LBFAST","LBFAST","","BiomedicalConceptProperty"
"True","True","15acd1ba-b425-471b-9b45-eb1cabc5dbe2","BiomedicalConceptProperty_152","LBTESTCD","LBTESTCD","","BiomedicalConceptProperty"
"True","True","b583acc6-d90c-4434-a20f-04716f3f666b","BiomedicalConceptProperty_153","LBORRES","LBORRES","float","BiomedicalConceptProperty"
"True","True","256196fc-f86d-438d-94b7-a13cde43f1e2","BiomedicalConceptProperty_154","LBORRESU","LBORRESU","","BiomedicalConceptProperty"
"True","True","d7281e0f-c448-4a2f-a479-50e8c77f525a","BiomedicalConceptProperty_155","LBSPEC","LBSPEC","","BiomedicalConceptProperty"
"True","True","35838a3f-5ca7-49a9-9849-3e1760927182","BiomedicalConceptProperty_156","LBFAST","LBFAST","","BiomedicalConceptProperty"
"True","True","148947e5-4b2d-4de5-8c8f-87a2b13f83b8","BiomedicalConceptProperty_157","LBTESTCD","LBTESTCD","","BiomedicalConceptProperty"
"True","True","e5e4e290-a877-47af-9e49-73ac1fcd13bb","BiomedicalConceptProperty_158","LBORRES","LBORRES","float","BiomedicalConceptProperty"
"True","True","c00ac956-ea91-4bce-9058-61df9a1116d0","BiomedicalConceptProperty_159","LBORRESU","LBORRESU","","BiomedicalConceptProperty"
"True","True","72347226-de7a-46eb-a774-b3ece64e7091","BiomedicalConceptProperty_160","LBSPEC","LBSPEC","","BiomedicalConceptProperty"
