"minValue","maxValue","id","isApproximate","uuid:ID","instanceType"
"300.0","300.0","Range_2","False","cd014b18-5ae1-4dc1-99f1-63a31b84bc5d","Range"
"300.0","300.0","Range_1","False","8b9d903e-17b6-430d-8470-1eca8462f149","Range"
"50.0","100.0","Range_3","False","d60aa14c-dcbf-4bcf-806a-8cd622c1940d","Range"
