"description","dateValue","uuid:ID","id","label","name","instanceType"
"Design approval date","2006-06-01","de9dc6e0-dbe6-4353-967d-233e335add02","GovernanceDate_1","Design Approval","D_APPROVE","GovernanceDate"
"Protocol document approval date","2006-07-01","071f2193-0beb-4e82-9e28-59a8154aa2db","GovernanceDate_2","Protocol Approval","P_APPROVE","GovernanceDate"
