"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","0904d28d-8e47-43d2-821d-9feff0ced35f","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","9b9e22fa-07c8-43b1-b056-4ef7eca94469","StudyAmendmentReason"
