"description","uuid:ID","id","label","name","instanceType"
"Dictionary for IE","59acf552-d198-4e79-ab67-0f04d613a42d","SyntaxTemplateDictionary_1","IE Dictionary","IE_Dict","SyntaxTemplateDictionary"
"Dictionary for Study Assessments","2e2462f6-41f2-4a9b-9c30-bb0904863850","SyntaxTemplateDictionary_2","Assessment Dictionary","AS_Dict","SyntaxTemplateDictionary"
