"minValue","id","isApproximate","maxValue","instanceType","uuid:ID"
"75.0","Range_2","False","75.0","Range","6d3ba77b-62f5-4c2d-984a-634c38f44a94"
"66.0","Range_1","False","66.0","Range","e9d7a4b9-4b28-48f2-912a-615a55076d02"
"30.0","Range_3","False","30.0","Range","6666a24f-0c9d-43c2-8ae9-a04fc1d3dee9"
"18.0","Range_4","False","64.0","Range","6e246a8f-0bbb-4b50-bf20-fd194e1ee616"
"30.0","Range_5","False","30.0","Range","a7f694d6-12f0-4dc2-b271-62b5be7c2f13"
"20.0","Range_6","False","70.0","Range","3f396529-3374-4bc9-8614-96363595aec2"
