"description","id","label","name","instanceType","uuid:ID"
"","ScheduledActivityInstance_21","","SCREENING","ScheduledActivityInstance","0ab4b26c-499c-49e4-9f00-1c88c9d95f8d"
"","ScheduledActivityInstance_22","","P1_DAY_MINUS1","ScheduledActivityInstance","c679b11c-0989-483d-9c43-98923af3d82f"
"","ScheduledActivityInstance_23","","DAY_1_RANDOM","ScheduledActivityInstance","828c1f74-5f21-47c7-b099-583551048672"
"","ScheduledActivityInstance_24","","P1_PRE_INFUSION","ScheduledActivityInstance","8c8bb4f7-d71b-43ab-b300-a5a6c87d6fac"
"","ScheduledActivityInstance_25","","P1_INFUSION","ScheduledActivityInstance","478743ce-48d5-4230-967d-d4f04c7bb9af"
"","ScheduledActivityInstance_26","","P1_TREATMENT","ScheduledActivityInstance","6542b6b3-41bd-47c5-8dcf-1b94641de176"
"","ScheduledActivityInstance_27","","P1_DISCHARGE","ScheduledActivityInstance","89f70167-d864-4e4d-861e-af49c180f929"
"","ScheduledActivityInstance_28","","WASHOUT","ScheduledActivityInstance","bc9d2434-89ad-4189-913d-e478e459228b"
"","ScheduledActivityInstance_29","","P2_DAY_MINUS1","ScheduledActivityInstance","4e6a1c66-9c31-4ad9-89a0-369834ac666a"
"","ScheduledActivityInstance_30","","P2_PRE_INFUSION","ScheduledActivityInstance","9a6e8e89-e0c4-41a9-b4bb-f6d24e43b749"
"","ScheduledActivityInstance_31","","P2_INFUSION","ScheduledActivityInstance","ae208f11-c5c4-4fb6-9076-3f3a76f7f757"
"","ScheduledActivityInstance_32","","P2_TREATMENT","ScheduledActivityInstance","ba793e94-fb30-4af3-a709-d2afa0753111"
"","ScheduledActivityInstance_33","","P2_DISCHARGE","ScheduledActivityInstance","1e975db1-9fe2-4f8d-84c4-e9a53bd18b4d"
"","ScheduledActivityInstance_34","","FOLLOW_UP","ScheduledActivityInstance","a3f2cc21-81c3-46e2-bb1f-39a4df738d90"
"","ScheduledActivityInstance_35","","ADD_FOLLOW_UP","ScheduledActivityInstance","6bcce8b8-59b6-4f77-b64a-9916647e7769"
"","ScheduledActivityInstance_1","","PRE_INDUCTION","ScheduledActivityInstance","5c0dae7a-2a00-4f28-bea4-3c3e2e270b7d"
"","ScheduledActivityInstance_2","","30_MIN_BEFORE","ScheduledActivityInstance","c90d8c18-6391-4dda-9f17-aee96d6eb029"
"","ScheduledActivityInstance_3","","15_MIN_BEFORE","ScheduledActivityInstance","ebac3ba4-9810-4565-a0a5-7a842e4063be"
"","ScheduledActivityInstance_4","","INDUCTION","ScheduledActivityInstance","1f05d5c9-39f8-445d-b165-99ec03289ecb"
"","ScheduledActivityInstance_5","","STOP","ScheduledActivityInstance","6b91bcc4-9107-427e-825c-8f417067d60f"
"","ScheduledActivityInstance_6","","PRE_DOSE","ScheduledActivityInstance","96908f6c-ae6e-4178-b0af-f203809fc687"
"","ScheduledActivityInstance_7","","DOSE","ScheduledActivityInstance","fc931216-9825-4e4d-80f7-757c66aafcb5"
"","ScheduledActivityInstance_8","","5_MIN","ScheduledActivityInstance","5813d96b-d8b9-4625-be07-0213c5df7265"
"","ScheduledActivityInstance_9","","10_MIN","ScheduledActivityInstance","1bdffa28-cea9-44d0-addc-3972862539de"
"","ScheduledActivityInstance_10","","15_MIN","ScheduledActivityInstance","e2bfc59d-a554-46c7-b65d-29e96aa0a5bf"
"","ScheduledActivityInstance_11","","20_MIN","ScheduledActivityInstance","071b98db-22c7-412e-9074-50969d1c4565"
"","ScheduledActivityInstance_12","","25_MIN","ScheduledActivityInstance","f0e4ef0f-9a0d-4a2b-8378-cc60a22eed24"
"","ScheduledActivityInstance_13","","30_MIN","ScheduledActivityInstance","25370962-03f3-4956-9e06-930a1c16e4ae"
"","ScheduledActivityInstance_14","","40_MIN","ScheduledActivityInstance","183f7b96-5ed9-4e12-b367-36f854b547e2"
"","ScheduledActivityInstance_15","","50_MIN","ScheduledActivityInstance","a0dae6d7-b3c8-4d4f-8b02-24ca895c27ae"
"","ScheduledActivityInstance_16","","60_MIN","ScheduledActivityInstance","4439ca25-1b62-4bed-96f9-4df2fec2ba38"
"","ScheduledActivityInstance_17","","90_MIN","ScheduledActivityInstance","bdc8b30e-0988-4971-9c41-848319cccfe4"
"","ScheduledActivityInstance_18","","120_MIN","ScheduledActivityInstance","1c6e21fe-4699-42b1-9a89-cf4079e8cc55"
"","ScheduledActivityInstance_19","","240_MIN","ScheduledActivityInstance","f5f5763a-41ba-457d-9c7f-a119c7318355"
"","ScheduledActivityInstance_20","","MEAL","ScheduledActivityInstance","44ad3a09-d518-46a8-8b3f-e5635c79de4b"
