"codeSystem","id","code","codeSystemVersion","instanceType","uuid:ID","decode"
"http://www.cdisc.org","Code_1","C98388","2023-12-15","Code","be1dea1a-04d4-4f23-aecd-5fc4c69e2442","Interventional Study"
"http://www.cdisc.org","Code_2","C15602","2023-12-15","Code","bcfc23c5-d706-4acf-9a00-c5be5b872843","Phase III Trial"
"http://www.cdisc.org","Code_6","C132352","2023-12-15","Code","7a35ee7d-71d9-429c-9395-d4da096631b0","Sponsor Approval Date"
"http://www.cdisc.org","Code_7","C68846","2023-12-15","Code","48c9b70b-f82a-48db-8646-ddd593951cdf","Global"
"http://www.cdisc.org","Code_81","C99904x4","2023-12-15","Code","02ac1d7b-bc8b-4499-9a6e-4c5fba05feb9","New Safety Information Available"
"http://www.cdisc.org","Code_82","C99904x12","2023-12-15","Code","0414cdc9-f03c-4ee2-84c4-85fe34706c58","Inconsistency And/Or Error In The Protocol"
"http://www.cdisc.org","Code_83","C68846","2023-12-15","Code","0a6f07c1-6316-40b4-8aa3-43d4270e1b04","Global"
"http://www.cdisc.org","Code_84","C70793","2023-12-15","Code","8cee5541-ea89-4dbc-a3a1-7b5e0aabf719","Clinical Study Sponsor"
"ISO 3166 1 alpha3","Code_85","JPN","2020-08","Code","06e0cd62-eebb-468d-8fc0-b2405b5044f9","Japan"
"http://www.cdisc.org","Code_86","C93453","2023-12-15","Code","7f1defb6-fbef-4b5f-8f5d-f51b32055b42","Study Registry"
"ISO 3166 1 alpha3","Code_87","USA","2020-08","Code","b0eb477c-6197-4be3-bd0d-548f14fe842f","United States of America"
"http://www.cdisc.org","Code_127","C15714","2023-12-15","Code","6978f3cd-282c-4eeb-97c5-b9dd7cb17146","Basic Research"
"http://www.cdisc.org","Code_128","C139174","2023-12-15","Code","21f868b0-1268-4762-b363-6992d9f01457","Device Feasibility Study"
"http://www.cdisc.org","Code_129","C49666","2023-12-15","Code","7ff51d51-876b-46cf-ab68-c6ef3f134f7f","Efficacy Study"
"http://www.cdisc.org","Code_130","C82639","2023-12-15","Code","e3dedd54-b4da-4e5c-8728-8714bc061390","Parallel Study"
"http://www.cdisc.org","Code_96","C25716","2023-12-15","Code","2ece050d-8e48-46a2-b087-f9874cf642b6","Visit"
"http://www.cdisc.org","Code_97","C16281","2023-12-15","Code","b0efa015-f7d4-47bd-b647-2c4cd97add35","Ambulatory Care Facility"
"http://www.cdisc.org","Code_98","C175574","2023-12-15","Code","a3d16581-80b2-435d-a3a4-b97ac43d2923","In Person"
"http://www.cdisc.org","Code_99","C25716","2023-12-15","Code","42c24e64-d668-4a07-a148-b47110bf77f5","Visit"
"http://www.cdisc.org","Code_100","C51282","2023-12-15","Code","ac9bc374-e66b-4124-9995-a7364a84135a","Clinic"
"http://www.cdisc.org","Code_101","C175574","2023-12-15","Code","ce950734-dd3b-4ab8-bf74-a7b8eb8ad91d","In Person"
