"description","includesHealthySubjects","id","label","name","instanceType","uuid:ID"
"Type-1 Diabetes Mellitus Cohort","False","StudyCohort_1","Type-1 Diabetes Mellitus Cohort","T1DM","StudyCohort","03630608-af21-4be8-8c29-b8d5677757f1"
"Type-2 Diabetes Mellitus Cohort","False","StudyCohort_2","Type-2 Diabetes Mellitus Cohort","T2DM","StudyCohort","f76f3845-7fc9-4fd8-9b82-576a2d5468d8"
