"durationWillVary","id","description","reasonDurationWillVary","instanceType","uuid:ID"
"False","AdministrationDuration_1","","","AdministrationDuration","a38f6ff9-69b7-44f6-a7f0-f293f91996f0"
"False","AdministrationDuration_2","","","AdministrationDuration","e444bc54-e05f-4ec5-b282-2c2e8a81e9b1"
