"description","id","label","name","instanceType","uuid:ID"
"LY900018","StudyIntervention_1","LY900018","LY","StudyIntervention","68c85bb9-b9a2-4055-9876-7f99847740b5"
"Glucagon","StudyIntervention_2","GlucaGen","IMG","StudyIntervention","ef7b8b81-7897-4d63-8bb8-44cc4d37870d"
