"description","id","label","name","instanceType","uuid:ID","dataOriginDescription"
"LY900018-IMG","StudyArm_1","","LY-G","StudyArm","f7a4528f-ced0-4e1d-957f-c9b4c5df2e39","Data collected from subjects"
"IMG-LY900018","StudyArm_2","","G-LY","StudyArm","dbc3dafb-852a-4299-9338-a176e7dc3029","Data collected from subjects"
