"uuid:ID","id","studyIdentifier","instanceType"
"47bb722d-47c5-45d4-8562-73a52e85d7dd","StudyIdentifier_1","I8R-JE-IGBJ","StudyIdentifier"
"b95838f8-3909-442a-b30e-fb37d936835c","StudyIdentifier_2","NCT03421379","StudyIdentifier"
