"instanceType","uuid:ID","description","id","dateValue","name","label"
"GovernanceDate","a3621657-c6f3-475b-93ee-b420403edf99","Design approval date","GovernanceDate_1","2006-06-01","D_APPROVE","Design Approval"
"GovernanceDate","132e5464-edfa-4f26-abaa-796ed173890d","Protocol document approval date","GovernanceDate_2","2006-07-01","P_APPROVE","Protocol Approval"
