"otherReason","id","instanceType","uuid:ID"
"","StudyAmendmentReason_1","StudyAmendmentReason","9527494a-1ad4-48e8-8c2d-f8600ebf09ee"
"Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason","2f00490c-716d-46bc-92c5-49ba0d62648d"
