"instanceType","minValue","isApproximate","uuid:ID","maxValue","id"
"Range","300.0","False","bbaeff7b-cb1e-41c4-ae3c-b04b111a6d0b","300.0","Range_2"
"Range","300.0","False","7cf0dfac-2546-4414-a26d-5a2256d114b5","300.0","Range_1"
"Range","50.0","False","dac3dbb3-ba0f-4f0f-91e3-929b8674c4aa","100.0","Range_3"
