"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","5af782c2-cdfa-40dd-800b-2a194865dac9","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","3b9c08f5-a2e9-4f63-a656-f99aa378ee0d","StudyAmendmentReason"
