"label","instanceType","description","id","uuid:ID","name"
"Screening","StudyEpoch","Screening Epoch","StudyEpoch_1","df8bbc37-b2cd-4ab4-9f1f-9ddefe7c71ca","Screening"
"Period 1","StudyEpoch","Treatment Period 1","StudyEpoch_2","e93c71f3-8510-4c2f-b3b3-55b60a6375fc","Period 1"
"Washout","StudyEpoch","Washout","StudyEpoch_3","4a993e53-5236-4d8d-9a1a-867c9adf373c","Wash Out"
"Period 2","StudyEpoch","Treatment Period 2","StudyEpoch_4","9d288219-37b9-432a-adba-766b468b2507","Period 2"
"Follow-up Epoch","StudyEpoch","Follow-up Epoch","StudyEpoch_5","2fed0926-d8e4-4b34-bbc6-cb525e238c8e","Follow-Up"
