"label","includesHealthySubjects","instanceType","description","id","uuid:ID","name"
"Type-1 Diabetes Mellitus Cohort","False","StudyCohort","Type-1 Diabetes Mellitus Cohort","StudyCohort_1","8342c4c5-a91e-44ef-b0c6-6722d03a1e2c","T1DM"
"Type-2 Diabetes Mellitus Cohort","False","StudyCohort","Type-2 Diabetes Mellitus Cohort","StudyCohort_2","7c1c666c-e38a-40c3-97b1-1bf093642690","T2DM"
