"label","instanceType","description","id","uuid:ID","name"
"","ScheduledActivityInstance","","ScheduledActivityInstance_21","6b76bb42-6d16-4eb7-92b8-fbd223554c3d","SCREENING"
"","ScheduledActivityInstance","","ScheduledActivityInstance_22","b1672273-efdb-4545-9f15-9302f28d8125","P1_DAY_MINUS1"
"","ScheduledActivityInstance","","ScheduledActivityInstance_23","46b8fdae-462d-4c7f-9945-8e22428755c1","DAY_1_RANDOM"
"","ScheduledActivityInstance","","ScheduledActivityInstance_24","9a5e285f-b336-4384-8133-5e201f1a0a7c","P1_PRE_INFUSION"
"","ScheduledActivityInstance","","ScheduledActivityInstance_25","7de489d8-0dd4-4f45-a388-61b8361a935c","P1_INFUSION"
"","ScheduledActivityInstance","","ScheduledActivityInstance_26","cc1ffc5e-2594-42b6-9f21-d6be1a5ed23f","P1_TREATMENT"
"","ScheduledActivityInstance","","ScheduledActivityInstance_27","410216bf-2f6d-4a11-9e3f-47b5c2daa50c","P1_DISCHARGE"
"","ScheduledActivityInstance","","ScheduledActivityInstance_28","c844c739-e807-4f97-8f19-f53d44145ba4","WASHOUT"
"","ScheduledActivityInstance","","ScheduledActivityInstance_29","8c6817e6-d231-47ac-afd7-6365f5e7ae95","P2_DAY_MINUS1"
"","ScheduledActivityInstance","","ScheduledActivityInstance_30","7a39ddbc-8665-4e73-9adf-9d7b4c812d04","P2_PRE_INFUSION"
"","ScheduledActivityInstance","","ScheduledActivityInstance_31","2817f9ec-f28e-4e3c-bdb0-ad6243a7b3dc","P2_INFUSION"
"","ScheduledActivityInstance","","ScheduledActivityInstance_32","953931b4-f70a-42d3-9fe8-59299fc42cb9","P2_TREATMENT"
"","ScheduledActivityInstance","","ScheduledActivityInstance_33","46296448-0893-4a3c-b2f3-396394fe4977","P2_DISCHARGE"
"","ScheduledActivityInstance","","ScheduledActivityInstance_34","4921f904-bde6-42d5-abbd-5660ae950507","FOLLOW_UP"
"","ScheduledActivityInstance","","ScheduledActivityInstance_35","528bcab7-03e2-4b56-85da-0efd73bb36e1","ADD_FOLLOW_UP"
"","ScheduledActivityInstance","","ScheduledActivityInstance_1","8a44d682-bc9a-4269-ab4a-3d6871b15f17","PRE_INDUCTION"
"","ScheduledActivityInstance","","ScheduledActivityInstance_2","b5962e29-b97d-4c2a-8cf9-6224667c5eef","30_MIN_BEFORE"
"","ScheduledActivityInstance","","ScheduledActivityInstance_3","1eb155b8-178d-4359-bd6e-95ca407a6c8f","15_MIN_BEFORE"
"","ScheduledActivityInstance","","ScheduledActivityInstance_4","abb36950-f293-4d2f-aec5-a253674860d4","INDUCTION"
"","ScheduledActivityInstance","","ScheduledActivityInstance_5","b7718401-4eee-4d88-b87d-fec0001049a1","STOP"
"","ScheduledActivityInstance","","ScheduledActivityInstance_6","07c72676-1fd1-4a1e-b5ed-80ea0a1b39e1","PRE_DOSE"
"","ScheduledActivityInstance","","ScheduledActivityInstance_7","2ac25c4d-bf02-4f1c-ae60-cf2a45c755c2","DOSE"
"","ScheduledActivityInstance","","ScheduledActivityInstance_8","22384b6e-eee7-4bc8-b4c2-46876aa0605e","5_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_9","e1528226-aa4e-48b1-b2f8-d742b2eca191","10_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_10","0fc17d1a-3ba9-4d44-ab09-942ac6ecf1dd","15_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_11","fbc9ebde-5898-4664-997d-e6fd246ee3d3","20_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_12","640651db-a2b2-4cd6-a791-d7086e6fb220","25_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_13","584c8ca8-fde9-4717-85b9-bb3a40d903cc","30_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_14","70aad6f9-cb47-4f5f-a851-87d407601699","40_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_15","27c09b38-9423-4eb2-8c91-6b1fbeca04e6","50_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_16","39a1221e-d839-4c24-a0bd-8aca935f8250","60_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_17","0f512890-51fa-4e2b-9358-4ab35fb42d9e","90_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_18","b9c0d480-53fa-459d-9421-0fc0357b6e8d","120_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_19","afc9a7df-4f75-4b8a-b97d-188f2308908a","240_MIN"
"","ScheduledActivityInstance","","ScheduledActivityInstance_20","b3014b7d-e3fc-4d44-9e2a-84d12df55ffc","MEAL"
