"instanceType","maxValue","id","isApproximate","minValue","uuid:ID"
"Range","75.0","Range_2","False","75.0","c9e58382-adbb-4596-8d89-3cc24b207fea"
"Range","66.0","Range_1","False","66.0","a98051c5-4039-43bf-bee5-0d0ee3cedce1"
"Range","30.0","Range_3","False","30.0","05ea67ab-fddb-4286-a6b9-60578350d049"
"Range","64.0","Range_4","False","18.0","e6616003-8f0e-41e6-9c10-406bf5387eed"
"Range","30.0","Range_5","False","30.0","3c3aa011-413a-4f45-b84a-9e49d231fcd4"
"Range","70.0","Range_6","False","20.0","6a0dc2a0-b90e-4ceb-ac72-93ed2489b8aa"
