"codeSystemVersion","instanceType","code","id","decode","uuid:ID","codeSystem"
"2023-12-15","Code","C98388","Code_1","Interventional Study","8e5e9299-5737-4143-b50d-a395803a8d71","http://www.cdisc.org"
"2023-12-15","Code","C15602","Code_2","Phase III Trial","9e031ad1-8770-40a8-9ff0-56f48ecb4d49","http://www.cdisc.org"
"2023-12-15","Code","C132352","Code_6","Sponsor Approval Date","f9d1464f-1aed-4bb9-8fc5-cea4d7049260","http://www.cdisc.org"
"2023-12-15","Code","C68846","Code_7","Global","53fb9651-13f0-4236-b6a6-18528fcd2ac2","http://www.cdisc.org"
"2023-12-15","Code","C99904x4","Code_81","New Safety Information Available","ca9422b8-c2fe-4ac0-b5a8-574ab6d3fa03","http://www.cdisc.org"
"2023-12-15","Code","C99904x12","Code_82","Inconsistency And/Or Error In The Protocol","554407b6-e15f-4741-b97a-00164046dfe6","http://www.cdisc.org"
"2023-12-15","Code","C68846","Code_83","Global","12ca070f-81f4-44e2-8393-0754d7b28c45","http://www.cdisc.org"
"2023-12-15","Code","C70793","Code_84","Clinical Study Sponsor","34de2949-2563-47f3-b5dc-d84f808af2ba","http://www.cdisc.org"
"2020-08","Code","JPN","Code_85","Japan","41a5fa38-0dbb-41f6-8b5d-97eb30ab6a65","ISO 3166 1 alpha3"
"2023-12-15","Code","C93453","Code_86","Study Registry","88364e21-e879-452e-af4d-013a57d76a0a","http://www.cdisc.org"
"2020-08","Code","USA","Code_87","United States of America","9634d340-524c-4aa3-8521-20f893b32fa0","ISO 3166 1 alpha3"
"2023-12-15","Code","C15714","Code_127","Basic Research","cf837b56-3a20-489e-ab9f-0ac7b118dfa2","http://www.cdisc.org"
"2023-12-15","Code","C139174","Code_128","Device Feasibility Study","e1eca821-cd0a-45cc-a4b9-3ad7cc27d250","http://www.cdisc.org"
"2023-12-15","Code","C49666","Code_129","Efficacy Study","019b11a4-c879-4670-9562-bba549ae242f","http://www.cdisc.org"
"2023-12-15","Code","C82639","Code_130","Parallel Study","147015a6-5891-4890-adab-d9ff4a21a33e","http://www.cdisc.org"
"2023-12-15","Code","C25716","Code_96","Visit","f405b5ee-e911-4e87-bf64-b23d52ea4cd8","http://www.cdisc.org"
"2023-12-15","Code","C16281","Code_97","Ambulatory Care Facility","f0fad5a5-16e1-4e1b-baa1-d3842508eeee","http://www.cdisc.org"
"2023-12-15","Code","C175574","Code_98","In Person","77eea693-4885-4dc1-ac19-31ed83de036d","http://www.cdisc.org"
"2023-12-15","Code","C25716","Code_99","Visit","12069846-722e-4d12-aa2c-eb9aee93d373","http://www.cdisc.org"
"2023-12-15","Code","C51282","Code_100","Clinic","42cf5adc-a555-4108-a2fb-1c0d607cc2c7","http://www.cdisc.org"
