"reasonDurationWillVary","instanceType","description","durationWillVary","id","uuid:ID"
"","AdministrationDuration","","False","AdministrationDuration_1","183cfc8a-3755-42b3-9e7b-6602c172aa58"
"","AdministrationDuration","","False","AdministrationDuration_2","9e0ab03d-3018-439f-a2f4-8ca971c73c6e"
