"id","studyIdentifier","uuid:ID","instanceType"
"StudyIdentifier_1","I8R-JE-IGBJ","3a4da5b2-b3be-4b74-94cc-c56b37d76f8b","StudyIdentifier"
"StudyIdentifier_2","NCT03421379","57ceae41-732c-40ff-a4a1-074b7a4c8817","StudyIdentifier"
