"label","datatype","instanceType","isEnabled","isRequired","id","uuid:ID","name"
"DSDECOD","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_4","8513e20c-ca84-4332-a985-ad9ddce32da1","DSDECOD"
"DSTERM","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_5","62ede8d8-0439-47ff-9376-02314b486345","DSTERM"
"DSSTDTC","datetime","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_6","fdd65b3b-4c6d-4397-b35f-153a0beda467","DSSTDTC"
"MHTERM","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_7","7bfe1b8b-1f80-431b-b52d-7e01dece8ec1","MHTERM"
"MHDECOD","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_8","95fc421a-3049-44a3-b572-6e9165688829","MHDECOD"
"MHSTDTC","datetime","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_9","a445b54e-43fb-4954-98bb-8d92feb4814f","MHSTDTC"
"MHENDTC","datetime","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_10","21119025-a3c5-489a-8ec6-a18decce8cbb","MHENDTC"
"VSTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_11","890052aa-d340-4282-b0e2-2f59e9e26d91","VSTESTCD"
"VSORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_12","9d3157c6-e3d2-4652-9f93-0fd30c47e92f","VSORRES"
"VSORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_13","cadb07ff-0a7d-4338-b059-62a10e363297","VSORRESU"
"VSTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_14","ed0c4897-84b2-4dcd-869a-cad81eebbf0c","VSTESTCD"
"VSORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_15","7f069fc2-ed69-444c-9ea3-f08c49fc0a01","VSORRES"
"VSORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_16","ae201028-e4b0-4346-b03c-f089effea194","VSORRESU"
"CMTRT","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_17","1dce2171-f566-4393-a7bc-733ee8036728","CMTRT"
"CMDECOD","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_18","689ed764-a108-42a7-987d-d988e6635bda","CMDECOD"
"CMCLAS","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_19","c35eca1c-48f9-47d9-861f-69f2027ecf3b","CMCLAS"
"CMINDC","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_20","c18236e2-b9dd-48b4-b1d2-b66502987a07","CMINDC"
"CMDOSE","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_21","9d75ec60-a91f-494a-ad73-ba31d15cbbc9","CMDOSE"
"CMDOSU","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_22","569b029a-e5e4-4eb6-89db-eb5c00f99d56","CMDOSU"
"CMDOSFRM","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_23","d12a00d5-ddb6-4703-b629-869e230c6e9d","CMDOSFRM"
"CMDOSFRQ","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_24","2a305cf5-2ce2-43d2-8fe7-7d79153764a5","CMDOSFRQ"
"CMROUTE","text","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_25","739dfef8-400a-4880-953f-e242e073a5e0","CMROUTE"
"CMSTDTC","datetime","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_26","71cecf53-4602-480d-b203-52a6e3856fba","CMSTDTC"
"CMENDTC","datetime","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_27","41224d1c-d361-4ef3-9bd5-b971406f1705","CMENDTC"
"VSTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_28","23eab1cf-1b1c-44f4-a492-7407dd07b8c5","VSTESTCD"
"VSORRES","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_29","1f1ec226-30f9-4684-a7c5-147a17d7ee8f","VSORRES"
"VSORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_30","6249654e-9d5f-40d3-b5a4-0f641cdf7774","VSORRESU"
"VSPOS","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_31","dc938474-c6d8-4739-8c07-c71108072256","VSPOS"
"VSLOC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_32","67f4d9de-dff9-418e-aae6-27b49b679619","VSLOC"
"VSLAT","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_33","c34e3366-6ff7-4b90-bccf-4f25caeb9ceb","VSLAT"
"VSTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_34","eb31f16c-87a7-4c0a-91cf-3da1b5f92d0b","VSTESTCD"
"VSORRES","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_35","df9ce922-27e2-47ea-9f29-0759d1e5accd","VSORRES"
"VSORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_36","d26d3cfc-bc3b-4775-a13b-d1e65669a2d1","VSORRESU"
"VSPOS","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_37","91b7c688-2573-46b5-a30c-cfb0f5de9fbe","VSPOS"
"VSLOC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_38","2c3cdc39-aed1-4428-8c68-d109e394f4d4","VSLOC"
"VSLAT","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_39","c5fbc537-7dd8-4566-9904-6b2335b01580","VSLAT"
"VSTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_40","221b07fe-2328-4c13-a04f-8a2345872481","VSTESTCD"
"VSORRES","integer","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_41","e0e2f95d-4189-4993-bc2b-5d4305b16a38","VSORRES"
"VSORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_42","a843624e-bb4b-4009-a8b2-580d53eced27","VSORRESU"
"VSPOS","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_43","5c4a9b2d-8b01-4425-af5f-0a5a9b0c5e33","VSPOS"
"VSLOC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_44","2c540445-4f44-4a22-8dff-b141b3fa56fb","VSLOC"
"VSLAT","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_45","5a12fdd8-44ee-4e51-8777-5894cfbf63a6","VSLAT"
"VSTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_46","6b723f7e-544c-4b01-93f6-14c9bcf71831","VSTESTCD"
"VSORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_47","7044c2b9-9533-49b9-872e-c9efaf594616","VSORRES"
"VSORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_48","d8d47916-d940-4f0a-bce5-70106ce1ba19","VSORRESU"
"VSLOC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_49","bf4b08d7-f109-4da2-8e4c-4a7e7bde3a80","VSLOC"
"LBTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_50","44c3b094-aeb2-4e05-909b-4d0aa64f9a93","LBTESTCD"
"LBORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_51","5a3e0a7d-305d-493e-a57e-97dc0459a3e4","LBORRES"
"LBORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_52","4ddd9d15-c0be-4785-afd4-fdaf6014e3c0","LBORRESU"
"LBSPEC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_53","5ed3484a-4c1e-42c0-8840-884b231108f8","LBSPEC"
"LBFAST","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_54","3fd7ce55-754d-4768-813d-1ee691d5518a","LBFAST"
"LBTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_55","576ba36f-89cd-4656-92c4-2478a050ecb5","LBTESTCD"
"LBORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_56","9c51cedc-0f0e-41b0-a7c1-355a06e73ec6","LBORRES"
"LBORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_57","a090b110-ede1-4011-b300-3d80df6a788e","LBORRESU"
"LBSPEC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_58","b9338e4f-5ffc-4bae-816f-b1856abaa04f","LBSPEC"
"LBMETHOD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_59","5c9806f1-ed02-41e0-b8d2-26ef81f77b19","LBMETHOD"
"LBFAST","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_60","2867830b-bb2a-49bc-864e-ed35c7986d45","LBFAST"
"LBTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_61","16aee6b9-3ea2-4b4c-8811-1e2eaf4c8cab","LBTESTCD"
"LBORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_62","d8a32313-e9d7-472e-9e14-e958329be665","LBORRES"
"LBORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_63","4b7fc3dc-1808-428d-a97c-1c311f791d21","LBORRESU"
"LBSPEC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_64","c8b24d04-7e9f-4e21-afbe-14707e354526","LBSPEC"
"LBFAST","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_65","9d74ca92-539b-4886-be6d-2a431c726ccc","LBFAST"
"LBTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_66","3579c659-7056-432a-b003-a9b96b378405","LBTESTCD"
"LBORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_67","8b972c99-dcdd-4d18-9046-e0cba701456c","LBORRES"
"LBORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_68","a97e7f5d-da76-464a-be07-a81309be4da1","LBORRESU"
"LBSPEC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_69","a2d5c9aa-886f-44f7-80d7-44d6dfb8126f","LBSPEC"
"LBFAST","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_70","e6db1589-c3a2-4f89-a4cc-0fdf5223bdb8","LBFAST"
"LBTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_71","f2cb7575-3ae9-4563-aa50-ab85bd15e7fc","LBTESTCD"
"LBORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_72","edb12d12-b34d-473e-8120-956c68bbeb1d","LBORRES"
"LBORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_73","ad3e2214-2153-486c-a094-5bcdaa1c478b","LBORRESU"
"LBSPEC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_74","462a4930-518d-49fd-8b90-dc37f247f547","LBSPEC"
"LBFAST","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_75","679159b8-5088-49b1-a951-4be1b12cf629","LBFAST"
"LBTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_76","e3738f7f-0e4d-4081-8c55-975394747dfc","LBTESTCD"
"LBORRES","float","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_77","c4ea2d4f-a66e-4c5c-899c-63e0406df9f6","LBORRES"
"LBORRESU","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_78","7b582c03-8f13-4407-a30a-39bf3af17231","LBORRESU"
"LBSPEC","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_79","83578487-8376-4810-a9b1-93523f4a27e7","LBSPEC"
"LBFAST","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_80","0b338adf-00fa-4e21-9350-16dfbed49cb0","LBFAST"
"LBTESTCD","","BiomedicalConceptProperty","True","True","BiomedicalConceptProperty_81","0b727497-ba72-46cf-a76f-9178bf60c946","LBTESTCD"
