"label","dataOriginDescription","instanceType","description","id","uuid:ID","name"
"","Data collected from subjects","StudyArm","LY900018-IMG","StudyArm_1","36d9e672-cbf8-406d-81eb-b7a412bbc928","LY-G"
"","Data collected from subjects","StudyArm","IMG-LY900018","StudyArm_2","f9f94491-f523-4c2d-bfde-1ded3475597d","G-LY"
