"dateValue","id","name","description","label","uuid:ID","instanceType"
"2006-06-01","GovernanceDate_1","D_APPROVE","Design approval date","Design Approval","04caec1e-d403-4610-83af-e7adffd629d8","GovernanceDate"
"2006-07-01","GovernanceDate_2","P_APPROVE","Protocol document approval date","Protocol Approval","72b307e1-6bfc-4d29-9abb-64ec62467225","GovernanceDate"
