"id","name","description","label","uuid:ID","instanceType"
"SyntaxTemplateDictionary_1","IE_Dict","Dictionary for IE","IE Dictionary","3688059d-0d40-45bc-af27-23b29d48eb44","SyntaxTemplateDictionary"
"SyntaxTemplateDictionary_2","AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","539362ad-5059-412d-b498-f37bc7e9f025","SyntaxTemplateDictionary"
