"isApproximate","uuid:ID","id","minValue","maxValue","instanceType"
"False","7a46cfd5-7e91-4efd-bf94-89d7f48b3562","Range_2","300.0","300.0","Range"
"False","1293697e-84d0-44b5-b87b-c24aa3e15bfb","Range_1","300.0","300.0","Range"
"False","58ce8a46-8abd-4bec-99a5-151f7b8f3725","Range_3","50.0","100.0","Range"
