"uuid:ID","instanceType","id","otherReason"
"f75a1516-b95f-46cc-905e-10f6dd7b2e43","StudyAmendmentReason","StudyAmendmentReason_1",""
"a1178cb2-6c44-449f-bf56-0fc3ff445f8a","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
