"label","uuid:ID","name","description","id","parameterMap","instanceType"
"IE Dictionary","9e11d9cc-25de-4738-aab6-74dbe621ce80","IE_Dict","Dictionary for IE","SyntaxTemplateDictionary_1","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","SyntaxTemplateDictionary"
"Assessment Dictionary","9bf42c93-0404-425d-9e5a-bd49ab3b848f","AS_Dict","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>', 'Activity2': '<usdm:ref klass=""Activity"" id=""Activity_5"" attribute=""label""></usdm:ref>'}","SyntaxTemplateDictionary"
