"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","0789281c-4710-4cd9-8fcb-6bafd35da979","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","01aa8b48-82b0-48a3-b355-52d84ab71db2","StudyAmendmentReason"
