"id","instanceType","otherReason","uuid:ID"
"StudyAmendmentReason_1","StudyAmendmentReason","","81c6a124-3431-49e9-b919-6c979ee34ef5"
"StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors","2254abc0-de51-4b9f-9d00-22816ba33608"
