"uuid:ID","description","dateValue","name","label","instanceType","id"
"3dcf5178-6fce-4269-ac31-743327285f9c","Design approval date","2006-06-01","D_APPROVE","Design Approval","GovernanceDate","GovernanceDate_1"
"f15e1fbb-dcc6-4e15-969a-97a90d044a6b","Protocol document approval date","2006-07-01","P_APPROVE","Protocol Approval","GovernanceDate","GovernanceDate_2"
