"uuid:ID","isEnabled","id","datatype","name","label","instanceType","isRequired"
"9d81220d-ad75-43fa-91a3-153d86679ab1","True","BiomedicalConceptProperty_116","text","DSDECOD","DSDECOD","BiomedicalConceptProperty","True"
"c8ad6920-4c12-42e5-aacf-06c832153f6b","True","BiomedicalConceptProperty_117","text","DSTERM","DSTERM","BiomedicalConceptProperty","True"
"0d217cc6-1e30-46fc-92dc-f2c762ee3e62","True","BiomedicalConceptProperty_118","datetime","DSSTDTC","DSSTDTC","BiomedicalConceptProperty","True"
"7f1bf849-f9ec-42d9-bfc3-0e35d463a7bb","True","BiomedicalConceptProperty_119","string","Sex","Sex","BiomedicalConceptProperty","True"
"5550f4c3-32f9-485a-be03-45609782760b","True","BiomedicalConceptProperty_120","string","Race","Race","BiomedicalConceptProperty","True"
"b53eb441-d716-470d-82f7-a06f777e9c48","True","BiomedicalConceptProperty_121","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","True"
"b60ffeb6-1872-4d68-8ac0-15a2fdfed0f5","True","BiomedicalConceptProperty_122","float","VSORRES","VSORRES","BiomedicalConceptProperty","True"
"2764193b-a04d-4353-90b9-0904c97f337f","True","BiomedicalConceptProperty_123","","VSORRESU","VSORRESU","BiomedicalConceptProperty","True"
"19027056-624e-4d4b-97ac-8c07613a49ad","True","BiomedicalConceptProperty_124","","VSLOC","VSLOC","BiomedicalConceptProperty","True"
"54e2492e-1488-40dd-8490-52368a7c2d93","True","BiomedicalConceptProperty_125","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","True"
"b0588e9d-649a-4bc6-9e13-3af4ddcfe019","True","BiomedicalConceptProperty_126","float","VSORRES","VSORRES","BiomedicalConceptProperty","True"
"9cf3a1a2-3918-4ce7-9a95-949e7e0e4521","True","BiomedicalConceptProperty_127","","VSORRESU","VSORRESU","BiomedicalConceptProperty","True"
"b45cf8d8-9914-4d19-bb69-dbfa868976d7","True","BiomedicalConceptProperty_128","","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","True"
"987c9651-1905-4874-bd8a-9f2daf6decf6","True","BiomedicalConceptProperty_129","float","VSORRES","VSORRES","BiomedicalConceptProperty","True"
"91d74362-7e78-48a6-b92e-20e0ec982566","True","BiomedicalConceptProperty_130","","VSORRESU","VSORRESU","BiomedicalConceptProperty","True"
"55c4bf37-124c-43ed-bceb-94921afe2b1c","True","BiomedicalConceptProperty_131","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True"
"5291d7cb-e9f4-41a8-9f1e-6dfb48903355","True","BiomedicalConceptProperty_132","float","LBORRES","LBORRES","BiomedicalConceptProperty","True"
"36610d37-bca2-402f-b751-72b21c42197b","True","BiomedicalConceptProperty_133","","LBORRESU","LBORRESU","BiomedicalConceptProperty","True"
"2730bbc3-8504-45c8-bf04-1f0d911f98f2","True","BiomedicalConceptProperty_134","","LBSPEC","LBSPEC","BiomedicalConceptProperty","True"
"7d87b8c1-904a-411b-8628-b5393f5394a3","True","BiomedicalConceptProperty_135","","LBFAST","LBFAST","BiomedicalConceptProperty","True"
"24f98731-e4b2-4bea-a460-ff349add9dd3","True","BiomedicalConceptProperty_136","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True"
"47cb0a29-3e93-4024-9417-2740b4ecd099","True","BiomedicalConceptProperty_137","text","LBORRES","LBORRES","BiomedicalConceptProperty","True"
"fe7a6ec3-5afd-4cb8-87eb-44f2bd21231b","True","BiomedicalConceptProperty_138","","LBSPEC","LBSPEC","BiomedicalConceptProperty","True"
"8d708954-a071-4f5a-a4fa-49d18998a582","True","BiomedicalConceptProperty_139","","LBFAST","LBFAST","BiomedicalConceptProperty","True"
"a9ed16fa-ad12-4079-aff3-74de4ef114df","True","BiomedicalConceptProperty_140","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True"
"c0435464-c538-42cd-95cd-3455b34a8464","True","BiomedicalConceptProperty_141","float","LBORRES","LBORRES","BiomedicalConceptProperty","True"
"d8723cfc-ca82-462e-9ed9-9d9d9dd426e2","True","BiomedicalConceptProperty_142","","LBORRESU","LBORRESU","BiomedicalConceptProperty","True"
"4db3aeca-95a8-43df-b980-9a9ddb3e4e76","True","BiomedicalConceptProperty_143","","LBSPEC","LBSPEC","BiomedicalConceptProperty","True"
"77764d0a-1ddd-4a04-bd2f-eb189c5a51a2","True","BiomedicalConceptProperty_144","","LBFAST","LBFAST","BiomedicalConceptProperty","True"
"5e1f7d41-b69a-40a3-9a6b-7316e109df88","True","BiomedicalConceptProperty_145","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True"
"c73c068c-80cb-4b92-bbf8-d6761039b0bd","True","BiomedicalConceptProperty_146","float","LBORRES","LBORRES","BiomedicalConceptProperty","True"
"4f960d20-f1bf-4179-8206-22e8b5cbfd46","True","BiomedicalConceptProperty_147","","LBORRESU","LBORRESU","BiomedicalConceptProperty","True"
"8376772b-d8be-4cc0-b6a6-e115d39be778","True","BiomedicalConceptProperty_148","","LBSPEC","LBSPEC","BiomedicalConceptProperty","True"
"71cb0648-76ef-44a7-a59b-16ee7bde21c3","True","BiomedicalConceptProperty_149","","LBFAST","LBFAST","BiomedicalConceptProperty","True"
"538081b8-b2c5-42f6-af90-420061e161ed","True","BiomedicalConceptProperty_150","","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","True"
"e5436680-6dbf-44a7-91c3-9df8dfddd5d4","True","BiomedicalConceptProperty_151","float","LBORRES","LBORRES","BiomedicalConceptProperty","True"
"3ce7d4be-6a4e-4ede-a6f1-3da796775185","True","BiomedicalConceptProperty_152","","LBORRESU","LBORRESU","BiomedicalConceptProperty","True"
"b73e56e5-b10e-4bce-8337-d0e0ea911862","True","BiomedicalConceptProperty_153","","LBSPEC","LBSPEC","BiomedicalConceptProperty","True"
