"uuid:ID","description","name","label","instanceType","id"
"800e5533-ee7b-4970-9d87-f334475246d1","Dictionary for IE","IE_Dict","IE Dictionary","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1"
"bba90161-da9b-4a48-a95a-95b2e0a11e40","Dictionary for Study Assessments","AS_Dict","Assessment Dictionary","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2"
