"uuid:ID","instanceType","id","otherReason"
"c463563b-ecfb-481e-8a16-b4ad691181e8","StudyAmendmentReason","StudyAmendmentReason_1",""
"c6f99c6d-63dd-4ccb-b60c-bb3ea8537c1b","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
