"id","name","label","datatype","isEnabled","uuid:ID","instanceType","isRequired"
"BiomedicalConceptProperty_116","DSDECOD","DSDECOD","text","True","f8b67cf6-a84b-45a3-88fa-adeb428e5d80","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_117","DSTERM","DSTERM","text","True","1f42a433-d03d-47b1-9857-86fd909e3f1a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_118","DSSTDTC","DSSTDTC","datetime","True","fe14659a-162d-4650-a8d5-5b9269dfcf36","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_119","Sex","Sex","string","True","e3cbdda8-d664-4d14-b1e1-aabbaac88ffd","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_120","Race","Race","string","True","40cae945-f93e-49ee-b053-d6d53406756d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_121","VSTESTCD","VSTESTCD","","True","de58a53e-31a7-465a-a99e-e18d23b57a1b","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_122","VSORRES","VSORRES","float","True","ec0ebd42-4a48-4228-826f-412377fd1278","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_123","VSORRESU","VSORRESU","","True","fd08d190-0bb1-4613-92b4-b7d5cf68ee9a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_124","VSLOC","VSLOC","","True","2bd7bd21-86c5-414f-b951-ad1364cd2049","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_125","VSTESTCD","VSTESTCD","","True","eae4e056-8fdf-4f41-8beb-803c96ff21db","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_126","VSORRES","VSORRES","float","True","fed64ab7-7cba-4adc-b991-c486ca04930d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_127","VSORRESU","VSORRESU","","True","4a765e2e-7253-4371-a1b7-d40096f46d1f","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_128","VSTESTCD","VSTESTCD","","True","873dc402-6657-4ffd-8353-126f0eb96579","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_129","VSORRES","VSORRES","float","True","bbb36518-87c6-4907-8d22-cc7eff7bd90d","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_130","VSORRESU","VSORRESU","","True","b2f3b252-56a8-4048-8c91-27b9eaa6178a","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_131","LBTESTCD","LBTESTCD","","True","4e7056ed-c44e-4e98-8b0a-a7d6412eb1d0","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_132","LBORRES","LBORRES","float","True","4d8d176e-5411-44ad-938a-2e3430fa8220","BiomedicalConceptProperty","True"
