"isApproximate","uuid:ID","id","minValue","maxValue","instanceType"
"False","2472bb02-5df1-43ea-a1d8-3b39703d406d","Range_2","300.0","300.0","Range"
"False","78688582-ebe9-4c0b-adf0-b6a757695122","Range_1","300.0","300.0","Range"
"False","efd962e1-018c-4e5c-8c36-468ead4f3d3a","Range_3","50.0","100.0","Range"
