"id","name","description","label","uuid:ID","instanceType"
"SyntaxTemplateDictionary_1","IE_Dict","Dictionary for IE","IE Dictionary","d0be4149-ee13-4172-add7-f6766bda46e3","SyntaxTemplateDictionary"
"SyntaxTemplateDictionary_2","AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","ff78594a-6347-43f1-8bc1-829e2f7ded86","SyntaxTemplateDictionary"
