"uuid:ID","id","otherReason","instanceType"
"9abf68e9-d154-425d-b40f-bf1494181383","StudyAmendmentReason_1","","StudyAmendmentReason"
"99b48cfe-12dd-485d-95d4-ead11d5afd6d","StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason"
