"uuid:ID","instanceType","label","description","name","id"
"96e8ec7d-15d8-416c-b6ba-33e73be6ecb0","SyntaxTemplateDictionary","IE Dictionary","Dictionary for IE","IE_Dict","SyntaxTemplateDictionary_1"
"29c5c3e2-1a25-4cc3-a16e-9445773783dc","SyntaxTemplateDictionary","Assessment Dictionary","Dictionary for Study Assessments","AS_Dict","SyntaxTemplateDictionary_2"
