"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","bef82b4d-4732-4b72-8150-7dbcc06c6c1c"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","a3ae7203-a9cc-441c-a285-5e3f4adf6612"
