"uuid:ID","instanceType","code","codeSystemVersion","decode","codeSystem","id"
"19891857-b0d8-4277-ae30-d05c46051281","Code","C98388","2023-09-29","Interventional Study","http://www.cdisc.org","Code_1"
"bc9bf6d1-798e-46cf-940c-56ece7af30a5","Code","C15602","2023-09-29","Phase III Trial","http://www.cdisc.org","Code_2"
"484b0044-7868-46d6-9cce-becdb4d96315","Code","C132352","2023-09-29","Sponsor Approval Date","http://www.cdisc.org","Code_6"
"9758759a-920b-4309-9d41-0f5f67b1e190","Code","C68846","2023-09-29","Global","http://www.cdisc.org","Code_7"
"aad7d179-8bba-411b-ad4c-52e1e6075ec9","Code","C99904x4","2023-09-29","New Safety Information Available","http://www.cdisc.org","Code_81"
"7693b11f-efec-46e1-b902-e60f9d03008f","Code","C99904x12","2023-09-29","Inconsistency And/Or Error In The Protocol","http://www.cdisc.org","Code_82"
"9ba8a691-6ef7-4e9c-bdf2-4fc1469029b7","Code","C68846","2023-09-29","Global","http://www.cdisc.org","Code_83"
"6169199b-807f-4017-8264-a80facc1c786","Code","C70793","2023-09-29","Clinical Study Sponsor","http://www.cdisc.org","Code_84"
"a380156b-87bb-46c7-8759-3bb2fd26a343","Code","JPN","2020-08","Japan","ISO 3166 1 alpha3","Code_85"
"ee02a18e-6494-4c2d-b167-08bbb166d8a4","Code","C93453","2023-09-29","Study Registry","http://www.cdisc.org","Code_86"
"1f9fea5f-59a1-4ba9-893f-a918b4ff2697","Code","USA","2020-08","United States of America","ISO 3166 1 alpha3","Code_87"
"c83b0a03-6704-4762-b606-57e7da45fdbc","Code","C15714","2023-09-29","Basic Research","http://www.cdisc.org","Code_127"
"4e143d33-11cd-4957-8a9d-87e4e7f952ed","Code","C139174","2023-09-29","Device Feasibility Study","http://www.cdisc.org","Code_128"
"222cbdb7-52ea-4793-b1c5-cc30261f3d17","Code","C49666","2023-09-29","Efficacy Study","http://www.cdisc.org","Code_129"
"63b0692f-b069-4dda-bab6-e7af4226aaea","Code","C82639","2023-09-29","Parallel Study","http://www.cdisc.org","Code_130"
"a5f7e795-3ca7-450d-9e46-34adc9850b10","Code","C25716","2023-09-29","Visit","http://www.cdisc.org","Code_96"
"3f0c3086-c1d5-4cad-8480-13c8a456a163","Code","C16281","2023-09-29","Ambulatory Care Facility","http://www.cdisc.org","Code_97"
"94c84a8a-06f3-46bf-ae11-7a2385db84fd","Code","C175574","2023-09-29","In Person","http://www.cdisc.org","Code_98"
"808ac9b3-9d2d-4ffb-85b9-63a7b8fa232b","Code","C25716","2023-09-29","Visit","http://www.cdisc.org","Code_99"
"c65b5f99-a46a-44ea-a188-1f530d1f730b","Code","C51282","2023-09-29","Clinic","http://www.cdisc.org","Code_100"
"71ee6e05-b3e0-43ff-9297-d39f7a87c8e2","Code","C175574","2023-09-29","In Person","http://www.cdisc.org","Code_101"
"5ad8db36-752c-46d2-9c0f-f27b97f6b449","Code","C25716","2023-09-29","Visit","http://www.cdisc.org","Code_102"
"9806f33d-bdfb-4d9c-aa11-68b071f00d15","Code","C51282","2023-09-29","Clinic","http://www.cdisc.org","Code_103"
"bd1bf307-1b5e-4a59-a253-b72509872b62","Code","C175574","2023-09-29","In Person","http://www.cdisc.org","Code_104"
"d16ce69e-1cbd-450b-92e4-56fefb58f618","Code","C25716","2023-09-29","Visit","http://www.cdisc.org","Code_105"
"51b6f422-2254-4ca4-98f8-e64e98049f8b","Code","C51282","2023-09-29","Clinic","http://www.cdisc.org","Code_106"
"2a64aefe-5314-4e62-8b12-c481742019a1","Code","C175574","2023-09-29","In Person","http://www.cdisc.org","Code_107"
"9a3eef54-2589-453b-8485-2edc112c77c1","Code","C25716","2023-09-29","Visit","http://www.cdisc.org","Code_108"
"8b4743d9-4e29-4837-a265-3e6c201cd607","Code","C51282","2023-09-29","Clinic","http://www.cdisc.org","Code_109"
"ae3cdb7a-d57d-41f4-87f6-f09a951fe440","Code","C175574","2023-09-29","In Person","http://www.cdisc.org","Code_110"
"005e5a04-1a66-4e0d-a77d-266f0dfbc36f","Code","C25716","2023-09-29","Visit","http://www.cdisc.org","Code_111"
"fe562caa-107a-4a35-a833-ecacc6478ec6","Code","C51282","2023-09-29","Clinic","http://www.cdisc.org","Code_112"
"bac35a21-b963-4e05-bebf-8cbecc73fba9","Code","C175574","2023-09-29","In Person","http://www.cdisc.org","Code_113"
"ecce3398-f03a-4270-bd6a-e02235025ba0","Code","C25716","2023-09-29","Visit","http://www.cdisc.org","Code_114"
"7a60de20-9764-4604-91fb-104d5ceee968","Code","C16281","2023-09-29","Ambulatory Care Facility","http://www.cdisc.org","Code_115"
"7ee4eafc-bbc1-4cd5-8d18-4985500d0972","Code","C175574","2023-09-29","In Person","http://www.cdisc.org","Code_116"
"b45395d0-b3c3-41b2-8de9-b6f9abbe3116","Code","414925007","January 31, 2018","Obtaining Consent","SNOMED","Code_88"
"d51d01ec-1a26-4157-bb0a-6f975cabba14","Code","0001","12","Randomization","SPONSOR","Code_92"
"7a62d139-d463-42fc-bbb7-854b71088732","Code","305056002","January 31, 2018","Admission procedure","SNOMED","Code_89"
"613771ed-1555-445c-94b9-20b0033a80f4","Code","58000006","January 31, 2018","Patient Discharge","SNOMED","Code_90"
"dacb3633-93be-470d-94f1-1bcfba43b3e9","Code","5880005","January 31, 2018","Physical examination procedure","SNOMED","Code_93"
"26bfc65b-ee28-4977-8ec8-24ee69846226","Code","0003","12","Injection site assessment","SPONSOR","Code_94"
"2a130999-07de-4b9b-9d44-9713b824a596","Code","0004","12","Nasal site inspection","SPONSOR","Code_95"
