"studyIdentifier","instanceType","id","uuid:ID"
"I8R-JE-IGBJ","StudyIdentifier","StudyIdentifier_1","c52f2068-639a-43ac-82ca-177de88989d6"
"NCT03421379","StudyIdentifier","StudyIdentifier_2","8fc661c6-da8c-4b72-ad01-1e4901e667bc"
