"uuid:ID","name","instanceType","label","dataOriginDescription","description","id"
"607e99c3-4d33-4c46-8e92-47eec5da5fa5","LY-G","StudyArm","","Data collected from subjects","LY900018-IMG","StudyArm_1"
"47817d62-810e-4c05-8bf5-5cbc32910fbe","G-LY","StudyArm","","Data collected from subjects","IMG-LY900018","StudyArm_2"
