"studyIdentifier","id","uuid:ID","instanceType"
"I8R-JE-IGBJ","StudyIdentifier_1","98903cac-0390-4490-923b-ddfd6738b00c","StudyIdentifier"
"NCT03421379","StudyIdentifier_2","35f79f65-7255-43ad-92b9-080dbb75e724","StudyIdentifier"
