"id","isApproximate","minValue","uuid:ID","instanceType","maxValue"
"Range_2","False","75.0","e4eb4327-4eea-4ce5-803d-945509cbb1d5","Range","75.0"
"Range_1","False","66.0","eb9b5966-b81d-4802-ad9c-99f2861cdbd0","Range","66.0"
"Range_3","False","30.0","63aeb9b2-c063-4d27-8239-b853bb1a497d","Range","30.0"
"Range_4","False","18.0","9d4a2512-bd46-44db-814b-38aef45b9d51","Range","64.0"
"Range_5","False","30.0","75ee7539-654d-44a9-bc74-f6109c87c563","Range","30.0"
"Range_6","False","20.0","4e5adc35-b170-4ebe-87b2-abead7111de8","Range","70.0"
