"code","id","uuid:ID","instanceType","decode","codeSystem","codeSystemVersion"
"C98388","Code_1","25c22052-142f-4801-8fb7-880e42de09fa","Code","Interventional Study","http://www.cdisc.org","2023-09-29"
"C15602","Code_2","1fc08420-a1d0-4ecf-9cd0-a5347240f3e3","Code","Phase III Trial","http://www.cdisc.org","2023-09-29"
"C132352","Code_6","5b487481-5839-4ba5-94f8-8e288da1ad94","Code","Sponsor Approval Date","http://www.cdisc.org","2023-09-29"
"C68846","Code_7","30765ad7-df9c-4824-b8bd-cfffbe668932","Code","Global","http://www.cdisc.org","2023-09-29"
"C99904x4","Code_81","cf54e3b3-1593-4188-bcf4-1f8bf5fc9820","Code","New Safety Information Available","http://www.cdisc.org","2023-09-29"
"C99904x12","Code_82","d0650672-5b02-4849-91b6-ca4eef8be023","Code","Inconsistency And/Or Error In The Protocol","http://www.cdisc.org","2023-09-29"
"C68846","Code_83","0d9d1d0a-3468-49a3-8d18-5b8126e2a88e","Code","Global","http://www.cdisc.org","2023-09-29"
"C70793","Code_84","42ae29f7-4068-4514-839f-2a6cc88ba3eb","Code","Clinical Study Sponsor","http://www.cdisc.org","2023-09-29"
"JPN","Code_85","f31a5808-aeb4-4103-8bf6-08ab0c104dd2","Code","Japan","ISO 3166 1 alpha3","2020-08"
"C93453","Code_86","cb72991c-5fb3-4817-ac95-9ae101177f3d","Code","Study Registry","http://www.cdisc.org","2023-09-29"
"USA","Code_87","933f0c35-c934-4ca5-967d-be155b87dcae","Code","United States of America","ISO 3166 1 alpha3","2020-08"
"C15714","Code_127","7a8e8bcc-be23-464b-9e92-5e28ba99761c","Code","Basic Research","http://www.cdisc.org","2023-09-29"
"C139174","Code_128","5479244e-1ce2-4c33-adbd-df09a32fcf14","Code","Device Feasibility Study","http://www.cdisc.org","2023-09-29"
"C49666","Code_129","1eb53e3e-2ebf-4e67-bf1e-0cd4f065bd59","Code","Efficacy Study","http://www.cdisc.org","2023-09-29"
"C82639","Code_130","a74000c8-3074-49f9-8dea-4d511da39e99","Code","Parallel Study","http://www.cdisc.org","2023-09-29"
"C25716","Code_96","b4eee57a-dd76-4396-b9fc-bc04badc601f","Code","Visit","http://www.cdisc.org","2023-09-29"
"C16281","Code_97","e12beb95-d787-4dbe-aad5-0c92db3da182","Code","Ambulatory Care Facility","http://www.cdisc.org","2023-09-29"
"C175574","Code_98","59d2d54c-eba9-437e-ab63-7bb9cbc84b31","Code","In Person","http://www.cdisc.org","2023-09-29"
"C25716","Code_99","6b6509fa-a01f-49b3-a25d-150cf12b9b68","Code","Visit","http://www.cdisc.org","2023-09-29"
"C51282","Code_100","0d5f5041-3512-4fc0-a413-bfccccb974c0","Code","Clinic","http://www.cdisc.org","2023-09-29"
"C175574","Code_101","93eff21f-f221-446b-a063-4b33193e4928","Code","In Person","http://www.cdisc.org","2023-09-29"
"C25716","Code_102","949025f5-245d-4e88-b9db-364775f91874","Code","Visit","http://www.cdisc.org","2023-09-29"
"C51282","Code_103","b7dbe7b1-fec3-44ec-8d9c-cd3a0c921a14","Code","Clinic","http://www.cdisc.org","2023-09-29"
"C175574","Code_104","06cc01dd-a588-434b-9c30-3d9fdbfafd3d","Code","In Person","http://www.cdisc.org","2023-09-29"
"C25716","Code_105","baed0e52-0ebf-475f-b867-7ca35c94e8e8","Code","Visit","http://www.cdisc.org","2023-09-29"
"C51282","Code_106","a84c4979-9416-43eb-b4a1-1095d4a04dc6","Code","Clinic","http://www.cdisc.org","2023-09-29"
"C175574","Code_107","22ba7e2a-cf5e-45a3-be0e-cb47188c33fd","Code","In Person","http://www.cdisc.org","2023-09-29"
"C25716","Code_108","e0759b77-4ba1-4d98-a652-0c121940c8ed","Code","Visit","http://www.cdisc.org","2023-09-29"
"C51282","Code_109","a5df28d8-27d2-485b-853e-ae08eed8e3d6","Code","Clinic","http://www.cdisc.org","2023-09-29"
"C175574","Code_110","64ea2824-08d1-482d-9d9d-f3b7dd4f0d22","Code","In Person","http://www.cdisc.org","2023-09-29"
"C25716","Code_111","74749d78-cccf-4218-bc48-6ac17d616d5e","Code","Visit","http://www.cdisc.org","2023-09-29"
"C51282","Code_112","66218d8e-dc4b-4c17-85a9-557cc5b99785","Code","Clinic","http://www.cdisc.org","2023-09-29"
"C175574","Code_113","08d3286c-fda3-46bd-a984-5c837beda621","Code","In Person","http://www.cdisc.org","2023-09-29"
"C25716","Code_114","50d80fbe-1940-47fe-89c9-4e21ed160587","Code","Visit","http://www.cdisc.org","2023-09-29"
"C16281","Code_115","69e27895-0f2d-4624-9d62-781cdf541a99","Code","Ambulatory Care Facility","http://www.cdisc.org","2023-09-29"
"C175574","Code_116","c6b5affd-07b1-4030-9c73-da8d606010e0","Code","In Person","http://www.cdisc.org","2023-09-29"
"414925007","Code_88","0a14fcff-24cf-4d46-aaa6-1ffc14d255d5","Code","Obtaining Consent","SNOMED","January 31, 2018"
"0001","Code_92","d9ea69a2-b8c1-47fe-b0e2-3ac5f48179f2","Code","Randomization","SPONSOR","12"
"305056002","Code_89","de85df19-391c-41c5-b7c1-410fa124ef78","Code","Admission procedure","SNOMED","January 31, 2018"
"58000006","Code_90","1c85e624-bb88-48d5-92be-def25b0ca506","Code","Patient Discharge","SNOMED","January 31, 2018"
"5880005","Code_93","eb2f4699-2072-47b5-a495-56c0c9afd5a6","Code","Physical examination procedure","SNOMED","January 31, 2018"
"0003","Code_94","97244065-519a-4255-971b-94efb32012c9","Code","Injection site assessment","SPONSOR","12"
"0004","Code_95","f31e4a52-4895-4171-97ee-b61d6bc374d7","Code","Nasal site inspection","SPONSOR","12"
"0002","Code_91","52819e95-7e51-47ac-91f9-0aaf0ed8bab0","Code","Meal","SPONSOR","12"
"C77140","Code_132","82c0cec3-b045-4eec-8bbb-b5cbcc02210b","Code","Clinical Test Result","NCI Thesaurus",""
"C49673","Code_133","0582b200-9ea0-4a60-abec-0d2f0928c868","Code","Beats per Minute","http://www.cdisc.org","2023-09-29"
"C73688","Code_134","728ea7bd-73f7-43e2-97a3-5cf68eb2c40e","Code","Count per Minute","NCI Thesaurus",""
"C13717","Code_135","ea748f50-a924-4771-8373-9b90c69c9897","Code","Anatomic Site","NCI Thesaurus",""
"C25185","Code_136","62e4abb5-c33c-4e1c-b0f3-3331091b45ff","Code","Laterality","NCI Thesaurus",""
"C82535","Code_137","9f24e1ec-ff25-410d-8320-c03d39384647","Code","Test Method","NCI Thesaurus",""
"C62164","Code_138","22263d16-f0e8-419a-9805-3aff5ba43f88","Code","Body Position","NCI Thesaurus",""
"C49676","Code_131","2dc060cc-479d-478f-9fac-af4b8ed79ae5","Code","Pulse Rate","NCI Thesaurus",""
"C77140","Code_140","4575984e-eb29-45b6-9db4-96d9a769d534","Code","Clinical Test Result","NCI Thesaurus",""
"C42537","Code_141","72bc9ac4-8062-4061-9b87-5c9bbb2ac1e3","Code","Kelvin","http://www.cdisc.org","2023-09-29"
"C44276","Code_142","04337259-7e9b-44ba-87c6-8e88ab34b621","Code","Unit of Temperature","NCI Thesaurus",""
"C13717","Code_143","abad17af-a6da-4bfe-873d-dcbe8b337139","Code","Anatomic Site","NCI Thesaurus",""
"C174446","Code_139","85422725-e6ce-4b3d-bb31-bf7fe3a327e9","Code","Body Temperature","NCI Thesaurus",""
"C36292","Code_145","542f67f7-8c0c-4180-97c7-e06a849b2755","Code","Laboratory Test Result","NCI Thesaurus",""
"C83309","Code_146","6231d399-73cd-4cfd-9658-8b6e22b9484b","Code","Laboratory Test Fasting Status","NCI Thesaurus",""
"C70713","Code_147","e8b46137-93cc-4afa-a4fa-e2e07e6308f6","Code","Biospecimen Type","NCI Thesaurus",""
"C64832","Code_144","d1388a7e-9bda-494d-86ed-7be18e9768f5","Code","Specific Gravity","NCI Thesaurus",""
"C36292","Code_149","b88a24e3-42da-4ce3-b10f-928985074818","Code","Laboratory Test Result","NCI Thesaurus",""
"C83309","Code_150","4ca5c2d3-2e8a-471a-8226-c8bb4aa5daaa","Code","Laboratory Test Fasting Status","NCI Thesaurus",""
