"id","uuid:ID","instanceType","durationWillVary","description","reasonDurationWillVary"
"AdministrationDuration_1","3eaab5ca-4805-4af6-b2f3-81a4fee49e38","AdministrationDuration","False","",""
"AdministrationDuration_2","1c49ef57-1380-4302-9b6a-d173932241a8","AdministrationDuration","False","",""
