"name","id","uuid:ID","instanceType","description","dataOriginDescription","label"
"LY-G","StudyArm_1","4db7fd08-4736-45f7-bc2b-6c89f6b8361f","StudyArm","LY900018-IMG","Data collected from subjects",""
"G-LY","StudyArm_2","25afe83a-cfa2-40ce-a563-0fbaa0d09e17","StudyArm","IMG-LY900018","Data collected from subjects",""
