"name","id","uuid:ID","instanceType","description","label"
"LY","StudyIntervention_1","b99dc850-1791-4dad-9833-c5be0232302a","StudyIntervention","LY900018","LY900018"
"IMG","StudyIntervention_2","2fbe310c-d105-435c-8b4d-e970a29f02bf","StudyIntervention","Glucagon","GlucaGen"
