"uuid:ID","id","instanceType"
"73481f5d-520d-4027-822b-0c2fd9347601","StudyCell_1","StudyCell"
"b354a9a0-6ceb-4ada-b26f-dce0c20e63a9","StudyCell_2","StudyCell"
"ef650c8c-2eb1-4842-819e-9046ca77910c","StudyCell_3","StudyCell"
"eb5756df-50a5-472a-8c75-885b5fd17f08","StudyCell_4","StudyCell"
"f08b9646-c639-484b-89b7-92f0eac10efc","StudyCell_5","StudyCell"
"7ecaf2a1-1074-4f4c-9178-09a51537bd03","StudyCell_6","StudyCell"
"cf4c23cc-3a0c-4467-9f89-7111fe74ad8a","StudyCell_7","StudyCell"
"3641e638-949d-4d14-9bee-6fe85a3c856f","StudyCell_8","StudyCell"
"6476aa3e-198b-47fb-9e67-1dc942864f84","StudyCell_9","StudyCell"
"21272ae9-e158-4f33-bf38-f937f005c3be","StudyCell_10","StudyCell"
"afb9d54e-e818-41c8-8bdd-7cebf5bd1a17","StudyCell_11","StudyCell"
"db4f2f52-6fc2-49e2-ad37-56fe2433fd2f","StudyCell_12","StudyCell"
"89eefb65-511f-42d2-920f-44bc412c8270","StudyCell_13","StudyCell"
"cd09dcd4-7b76-49f0-ba51-1d3e11a4f618","StudyCell_14","StudyCell"
"b4217cc7-83e8-4a88-b50d-617dea291240","StudyCell_15","StudyCell"
