"maxValue","id","isApproximate","uuid:ID","instanceType","minValue"
"300.0","Range_2","False","0fa5e543-60a6-4554-abd2-19bf4840a00b","Range","300.0"
"300.0","Range_1","False","47d26078-a9d5-4d64-9367-af9034a0376b","Range","300.0"
"100.0","Range_3","False","a0f7d7b5-17d1-47c2-bfd9-95c8a880b668","Range","50.0"
