"isApproximate","maxValue","uuid:ID","instanceType","minValue","id"
"False","300.0","a9d73617-a179-4a11-94a7-864f6d3a3253","Range","300.0","Range_2"
"False","300.0","cda41df4-aec0-485d-882d-3fcdf4227038","Range","300.0","Range_1"
"False","100.0","b09c91b0-bd19-44e3-8eab-7aaefe0f3a61","Range","50.0","Range_3"
