"id","instanceType","uuid:ID","otherReason"
"StudyAmendmentReason_1","StudyAmendmentReason","e382cb1d-28e5-43dd-87bb-6f217beb5cbc",""
"StudyAmendmentReason_2","StudyAmendmentReason","68e4cf62-ceaf-4412-a946-9fb97df2037e","Fix typographical errors"
