"uuid:ID","dateValue","label","name","instanceType","description","id"
"7a538ee1-82ff-4633-94c8-e216056e9119","2006-06-01","Design Approval","D_APPROVE","GovernanceDate","Design approval date","GovernanceDate_1"
"647a25fb-f3bd-4358-ad9b-fcddbe13349f","2006-07-01","Protocol Approval","P_APPROVE","GovernanceDate","Protocol document approval date","GovernanceDate_2"
