"isApproximate","maxValue","minValue","id","uuid:ID","instanceType"
"False","300.0","300.0","Range_2","b4c617d8-6dc6-4ba3-a503-f60ede05ec04","Range"
"False","300.0","300.0","Range_1","e096be9a-b408-4d03-9ea5-06c637f121c8","Range"
"False","100.0","50.0","Range_3","4d036f51-5382-4bef-b7b3-ca22da4eead4","Range"
